"time","chain1/permissions.db","chain1/wallet/txs.db","chain1/wallet","chain1/blocks/index","chain1/blocks","chain1/database","chain1/entities.db","chain1/chunks/chunks.db","chain1/chunks/data/stream-8b716d263d7e47558fc5a4a9bab2a5bb","chain1/chunks/data/stream-a2188f9ed785b516c3541eb785603085","chain1/chunks/data/source","chain1/chunks/data","chain1/chunks/collect.db","chain1/chunks","chain1/chainstate","chain1"
"1.9073486328125e-06","32.0","32.0","48.0","28.0","17440.0","16.0","28.0","28.0","4.0","4.0","4.0","16.0","24.0","76.0","28.0","17728.0"
"5.353066682815552","32.0","32.0","48.0","28.0","17440.0","16.0","28.0","28.0","4.0","4.0","4.0","16.0","24.0","76.0","28.0","17732.0"
"10.013835906982422","32.0","32.0","48.0","28.0","17440.0","16.0","28.0","28.0","4.0","4.0","4.0","16.0","24.0","76.0","28.0","17732.0"
"15.221054315567017","32.0","32.0","48.0","28.0","17440.0","16.0","28.0","28.0","4.0","4.0","4.0","16.0","24.0","76.0","28.0","17732.0"
"20.045096158981323","32.0","32.0","312.0","28.0","17440.0","16.0","28.0","28.0","4.0","4.0","4.0","16.0","24.0","76.0","28.0","17996.0"
"25.24422407150269","32.0","36.0","316.0","28.0","17440.0","16.0","28.0","28.0","4.0","4.0","4.0","16.0","24.0","76.0","28.0","17996.0"
"30.082692384719852","32.0","36.0","452.0","28.0","17440.0","16.0","28.0","28.0","4.0","4.0","4.0","16.0","24.0","76.0","28.0","18136.0"
"35.286694526672356","32.0","36.0","580.0","28.0","17440.0","16.0","28.0","28.0","4.0","4.0","4.0","16.0","24.0","76.0","28.0","18264.0"
"40.457088232040405","32.0","36.0","580.0","28.0","17440.0","16.0","28.0","28.0","4.0","4.0","4.0","16.0","24.0","76.0","28.0","18264.0"
"45.230157136917114","32.0","36.0","716.0","28.0","17440.0","16.0","28.0","28.0","4.0","4.0","4.0","16.0","24.0","76.0","28.0","18400.0"
"50.01629972457886","32.0","36.0","848.0","28.0","17440.0","16.0","28.0","28.0","4.0","4.0","4.0","16.0","24.0","76.0","28.0","18532.0"
"55.15772724151611","32.0","36.0","848.0","28.0","17440.0","16.0","28.0","28.0","4.0","4.0","4.0","16.0","24.0","76.0","28.0","18532.0"
"60.37974452972412","32.0","36.0","976.0","28.0","17440.0","16.0","28.0","28.0","4.0","4.0","4.0","16.0","24.0","76.0","28.0","18660.0"
"65.26577758789061","32.0","36.0","1104.0","28.0","17440.0","16.0","28.0","28.0","4.0","4.0","4.0","16.0","24.0","76.0","28.0","18788.0"
"70.45192408561707","32.0","36.0","1104.0","28.0","17440.0","16.0","28.0","28.0","4.0","4.0","4.0","16.0","24.0","76.0","28.0","18788.0"
"75.24081063270569","32.0","36.0","1232.0","28.0","17440.0","16.0","28.0","28.0","4.0","4.0","4.0","16.0","24.0","76.0","28.0","18916.0"
"80.04904413223268","32.0","36.0","1232.0","28.0","17440.0","16.0","28.0","28.0","4.0","4.0","4.0","16.0","24.0","76.0","28.0","18916.0"
"85.31194710731506","32.0","44.0","1368.0","28.0","17440.0","16.0","28.0","28.0","4.0","4.0","4.0","16.0","24.0","76.0","28.0","19048.0"
"90.11117005348206","32.0","44.0","1504.0","28.0","17440.0","16.0","28.0","28.0","4.0","4.0","4.0","16.0","24.0","76.0","28.0","19188.0"
"95.33530950546265","32.0","44.0","1504.0","28.0","17440.0","16.0","28.0","28.0","4.0","4.0","4.0","16.0","24.0","76.0","28.0","19188.0"
"100.0999653339386","32.0","44.0","1636.0","28.0","17440.0","16.0","28.0","28.0","4.0","4.0","4.0","16.0","24.0","76.0","28.0","19320.0"
"105.3174693584442","32.0","44.0","1764.0","28.0","17440.0","16.0","28.0","28.0","4.0","4.0","4.0","16.0","24.0","76.0","28.0","19448.0"
