"time","chain1/permissions.db","chain1/wallet/txs.db","chain1/wallet","chain1/blocks/index","chain1/blocks","chain1/database","chain1/entities.db","chain1/chunks/chunks.db","chain1/chunks/data/stream-8b716d263d7e47558fc5a4a9bab2a5bb","chain1/chunks/data/stream-35a1ee2c51d2160356fd7bbea6bc4089","chain1/chunks/data/source","chain1/chunks/data","chain1/chunks/collect.db","chain1/chunks","chain1/chainstate","chain1"
"1.9073486328125e-06","32.0","32.0","48.0","28.0","17440.0","16.0","28.0","28.0","4.0","4.0","4.0","16.0","24.0","76.0","28.0","17732.0"
"5.353066682815552","32.0","32.0","48.0","28.0","17440.0","16.0","28.0","28.0","4.0","4.0","4.0","16.0","24.0","76.0","28.0","17732.0"
"10.013835906982422","32.0","32.0","48.0","28.0","17440.0","16.0","28.0","28.0","4.0","4.0","4.0","16.0","24.0","76.0","28.0","17732.0"
"15.221054315567017","32.0","32.0","184.0","28.0","17440.0","16.0","28.0","28.0","4.0","4.0","4.0","16.0","24.0","76.0","28.0","17868.0"
"20.045096158981323","32.0","32.0","184.0","28.0","17440.0","16.0","28.0","28.0","4.0","4.0","4.0","16.0","24.0","76.0","28.0","17868.0"
"25.24422407150269","32.0","36.0","188.0","28.0","17440.0","16.0","28.0","28.0","4.0","4.0","4.0","16.0","24.0","76.0","28.0","17868.0"
"30.082692384719852","32.0","36.0","324.0","28.0","17440.0","16.0","28.0","28.0","4.0","4.0","4.0","16.0","24.0","76.0","28.0","18008.0"
"35.286694526672356","32.0","36.0","324.0","28.0","17440.0","16.0","28.0","28.0","4.0","4.0","4.0","16.0","24.0","76.0","28.0","18008.0"
"40.457088232040405","32.0","36.0","324.0","28.0","17440.0","16.0","28.0","28.0","4.0","4.0","4.0","16.0","24.0","76.0","28.0","18008.0"
"45.230157136917114","32.0","40.0","456.0","28.0","17440.0","16.0","28.0","28.0","4.0","4.0","4.0","16.0","24.0","76.0","28.0","18136.0"
"50.01629972457886","32.0","40.0","456.0","28.0","17440.0","16.0","28.0","28.0","4.0","4.0","4.0","16.0","24.0","76.0","28.0","18136.0"
"55.15772724151611","32.0","40.0","592.0","28.0","17440.0","16.0","28.0","28.0","4.0","4.0","4.0","16.0","24.0","76.0","28.0","18276.0"
"60.37974452972412","32.0","40.0","592.0","28.0","17440.0","16.0","28.0","28.0","4.0","4.0","4.0","16.0","24.0","76.0","28.0","18276.0"
"65.26577758789061","32.0","40.0","592.0","28.0","17440.0","16.0","28.0","28.0","4.0","4.0","4.0","16.0","24.0","76.0","28.0","18276.0"
"70.45192408561707","32.0","40.0","724.0","28.0","17440.0","16.0","28.0","28.0","4.0","4.0","4.0","16.0","24.0","76.0","28.0","18408.0"
"75.24081063270569","32.0","40.0","724.0","28.0","17440.0","16.0","28.0","28.0","4.0","4.0","4.0","16.0","24.0","76.0","28.0","18408.0"
"80.04904413223268","32.0","40.0","724.0","28.0","17440.0","16.0","28.0","28.0","4.0","4.0","4.0","16.0","24.0","76.0","28.0","18408.0"
"85.31194710731506","32.0","40.0","860.0","28.0","17440.0","16.0","28.0","28.0","4.0","4.0","4.0","16.0","24.0","76.0","28.0","18544.0"
"90.11117005348206","32.0","40.0","860.0","28.0","17440.0","16.0","28.0","28.0","4.0","4.0","4.0","16.0","24.0","76.0","28.0","18544.0"
"95.33530950546265","32.0","40.0","860.0","28.0","17440.0","16.0","28.0","28.0","4.0","4.0","4.0","16.0","24.0","76.0","28.0","18544.0"
"100.0999653339386","32.0","40.0","988.0","28.0","17440.0","16.0","28.0","28.0","4.0","4.0","4.0","16.0","24.0","76.0","28.0","18672.0"
"105.3174693584442","32.0","40.0","988.0","28.0","17440.0","16.0","28.0","28.0","4.0","4.0","4.0","16.0","24.0","76.0","28.0","18672.0"
"110.04961442947388","32.0","44.0","992.0","28.0","17440.0","16.0","28.0","28.0","4.0","4.0","4.0","16.0","24.0","76.0","28.0","18672.0"
"115.38509082794191","32.0","44.0","1128.0","28.0","17440.0","16.0","28.0","28.0","4.0","4.0","4.0","16.0","24.0","76.0","28.0","18812.0"
"120.25182938575745","32.0","44.0","1128.0","28.0","17440.0","16.0","28.0","28.0","4.0","4.0","4.0","16.0","24.0","76.0","28.0","18812.0"
"125.10052824020386","32.0","44.0","1128.0","28.0","17440.0","16.0","28.0","28.0","4.0","4.0","4.0","16.0","24.0","76.0","28.0","18812.0"
"130.38531184196472","32.0","44.0","1256.0","28.0","17440.0","16.0","28.0","28.0","4.0","4.0","4.0","16.0","24.0","76.0","28.0","18940.0"
"135.14486932754514","32.0","44.0","1256.0","28.0","17440.0","16.0","28.0","28.0","4.0","4.0","4.0","16.0","24.0","76.0","28.0","18940.0"
