"time","chain1/permissions.db","chain1/wallet/txs.db","chain1/wallet","chain1/blocks/index","chain1/blocks","chain1/database","chain1/entities.db","chain1/chunks/chunks.db","chain1/chunks/data/stream-8b716d263d7e47558fc5a4a9bab2a5bb","chain1/chunks/data/stream-a2188f9ed785b516c3541eb785603085","chain1/chunks/data/stream-35a1ee2c51d2160356fd7bbea6bc4089","chain1/chunks/data/source","chain1/chunks/data","chain1/chunks/collect.db","chain1/chunks","chain1/chainstate","chain1"
"1.9073486328125e-06","32.0","32.0","40.0","28.0","17440.0","16.0","28.0","28.0","4.0","4.0","4.0","4.0","20.0","24.0","80.0","28.0","17724.0"
"5.353066682815552","32.0","32.0","40.0","28.0","17440.0","16.0","28.0","28.0","4.0","4.0","4.0","4.0","20.0","24.0","80.0","28.0","17724.0"
"10.013835906982422","32.0","32.0","40.0","28.0","17440.0","16.0","28.0","28.0","4.0","4.0","4.0","4.0","20.0","24.0","80.0","28.0","17724.0"
"15.221054315567017","32.0","32.0","176.0","28.0","17440.0","16.0","28.0","28.0","4.0","4.0","4.0","4.0","20.0","24.0","80.0","28.0","17860.0"
"20.045096158981323","32.0","32.0","304.0","28.0","17440.0","16.0","28.0","28.0","4.0","4.0","4.0","4.0","20.0","24.0","80.0","28.0","17988.0"
"25.24422407150269","32.0","36.0","304.0","28.0","17440.0","16.0","28.0","28.0","4.0","4.0","4.0","4.0","20.0","24.0","80.0","28.0","17988.0"
"30.082692384719852","32.0","36.0","568.0","28.0","17440.0","16.0","28.0","28.0","4.0","4.0","4.0","4.0","20.0","24.0","80.0","28.0","18252.0"
"35.286694526672356","32.0","36.0","568.0","28.0","17440.0","16.0","28.0","28.0","4.0","4.0","4.0","4.0","20.0","24.0","80.0","28.0","18252.0"
"40.457088232040405","32.0","36.0","568.0","28.0","17440.0","16.0","28.0","28.0","4.0","4.0","4.0","4.0","20.0","24.0","80.0","28.0","18256.0"
"45.230157136917114","32.0","40.0","836.0","28.0","17440.0","16.0","28.0","28.0","4.0","4.0","4.0","4.0","20.0","24.0","80.0","28.0","18520.0"
"50.01629972457886","32.0","40.0","836.0","28.0","17440.0","16.0","28.0","28.0","4.0","4.0","4.0","4.0","20.0","24.0","80.0","28.0","18520.0"
"55.15772724151611","32.0","40.0","964.0","28.0","17440.0","16.0","28.0","28.0","4.0","4.0","4.0","4.0","20.0","24.0","80.0","28.0","18648.0"
"60.37974452972412","32.0","40.0","1092.0","28.0","17440.0","16.0","28.0","28.0","4.0","4.0","4.0","4.0","20.0","24.0","80.0","28.0","18776.0"
"65.26577758789061","32.0","40.0","1092.0","28.0","17440.0","16.0","28.0","28.0","4.0","4.0","4.0","4.0","20.0","24.0","80.0","28.0","18776.0"
"70.45192408561707","32.0","40.0","1220.0","28.0","17440.0","16.0","28.0","28.0","4.0","4.0","4.0","4.0","20.0","24.0","80.0","28.0","18904.0"
